Number,Photo,Artist,Artwork Title,Year,Location (Country),"Tentative Description (Note: each description was not provided by the artists, but was generated using artificial intelligence with human supervision, and is still open to different interpretations).",Website link,Author Photo / Copyrights ,,,,,,,,,,,,,,,,,,,,,,,,,,Aware_SD
063,Picture, Mark Samsonovich - unsure if this is the artist,Warning: Too Much Consumption May Cause Sickness,2014 (?),United States,"A person regurgitating a cascade of magazine clippings, advertisements, and brand logos flows out. Above the figure, there's a warning that reads: ""TOO MUCH CONSUMPTION MAY CAUSE SICKNESS."" The primary colors are muted, such as the gray of the figure and the brown of the brick background. These are contrasted by the colors of the clippings and advertisements",https://i.pinimg.com/originals/16/a0/6c/16a06cad825b3bf9bfdf455bf03cd11f.jpg,https://3.bp.blogspot.com/-7-jDOSxZuPw/WpjdRRl36jI/AAAAAAAAN4k/XhPH9lpgBVoNR0hPgr-PlW9UX5k4pqYQACLcBGAs/s640/iu.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,2.46
067,Picture,Calo Lopez Rosa ,Drink More Tap,2020,United States,"Two individuals. The left figure appears to be passionately shouting or singing into a megaphone. The right figure, on the other hand, is captured in the act of pouring a liquid from a bottle, with the fluid taking on a whimsical shape in mid-air. Dominant hues include shades of blue in the background, bright yellows and reds in the flowers and abstract designs, and contrasting whites, blacks, and greys in the figures themselves.",Calo Lopez Rosa ,Calo Lopez Rosa ,,,,,,,,,,,,,,,,,,,,,,,,,,2.91
071,Picture,Karlito Miller Espinosa (Mata Ruda),(Unknown Title),2020,Jordan,"It features hands performing various activities – from pouring water and holding soil, to holding a basket of plants and a lit bulb – against a backdrop of a sun, mountains, and diverse flora. A noticeable text, ""Solar Commons"", emphasizes the theme of shared solar resources. It incorporates a variety of bright hues, such as blues, oranges, reds, yellows, and greens. ",https://solarcommonsproject.org/wp-content/uploads/2021/03/SC_Mural-01-300x200.jpg,Photo by D. Kaufmann,,,,,,,,,,,,,,,,,,,,,,,,,,2.74
076,Picture,Jonathan Darby and Wesam Shadid,"(Unknown Title) (Part of the initiative ""Hold Water"")",2019,Jordan,"Face of a person, appearing as if they are submerged halfway in the water. their closed eye and the gentle curve of their nose and lips are seen above the waterline, while the water casts a vibrant blue shade below. The water seems to distort or obscure the part of their face that is submerged. To the right of the mural, there's a detailed, decorative pattern that seems reminiscent of waves or fluid motion, further amplifying the aquatic theme. The upper portion of the mural, showcasing the person's face, is in a monochrome palette. Below their eyes, a blue hue symbolizes the water. The patterns on the right are rendered in a lighter, silvery shade. (Part of the initiative ""Hold Water"") ",https://scontent.flis10-1.fna.fbcdn.net/v/t1.6435-9/74469521_2572901972770838_7351473728452034560_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=nWWQ6_vqubgAX_6kk7k&_nc_ht=scontent.flis10-1.fna&oh=00_AT9OW7Pm3iV_4D4c1VD1KABZcKJ589G86s_vWliaO1gy1w&oe=636DDD5C,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
083,Picture,NEVERCREW ,Brink,2022,France,"A large, transparent glass bottle lying on its side, with a detailed, miniature world contained within it. Inside the bottle, a small island with lush greenery, surrounded by blue ocean waters. On the island, a few structures are visible, likely representing houses or buildings nestled among the greenery. Beneath the island, the ocean scene continues with a large whale swimming near the ocean floor, accompanied by other smaller sea creatures. The ocean is depicted in a range of blue tones. Above the water, the sky is illustrated in a gradient from light blue to a vibrant pink. A large, pink cloud hovers over the island. A small boat is seen floating on the water near the mouth of the bottle. The bottle itself is rendered with intricate detail, showing reflections and highlights that make it appear three-dimensional.
",https://www.instagram.com/p/CmMXrvAsUTr/,NEVERCREW ,,,,,,,,,,,,,,,,,,,,,,,,,,2.96
084,Picture,NEVERCREW ,Fuse,2022,Switzerland,"A layered arrangement of marine animals, ascending in a vertical stack. Two large whales, a dolphin, and a polar bear. The whales are stacked on top of each other, their bodies curving and intertwining. At the top of the stack, the polar bear is perched on the uppermost golphin. The animals are rendered in shades of gray with prominent pink, contrasting the pastel blue background. Below the marine creatures, there's a pink strip that appears to represent the surface of the water. Beneath this strip, near the bottom of the mural, there are small silhouetted figures of people. 
",https://www.instagram.com/p/Cj27sUmM3lw/,NEVERCREW ,,,,,,,,,,,,,,,,,,,,,,,,,,3.07
085,Picture,NEVERCREW ,Sign,2022,Switzerland,"Blend of land and marine animals intertwined in a vertical cascade. The top features terrestrial animals like lions, bears, and deer. As we move downward, the mural transitions to marine life, including a large whale and a baby elephant perched on its nose. The mural's background shifts from a light blue to a deeper blue. Surrounding the main images are outlines of other animals.The background predominantly features shades of blue. The terrestrial animals are mostly rendered in grays and browns, while the whale has a deep blue-gray hue. A pink stripe splits the mural.
",https://nevercrew.com/sign,NEVERCREW ,,,,,,,,,,,,,,,,,,,,,,,,,,2.47
088,Picture,Nuno Nomen,"Projecto ""O Bairro e o Mundo""",2014,Portugal,"A young individual, seemingly female, with a second face rendered on a mask that they holds above their own. The primary face appears somber, while the mask has eyes gazing upward. The main face features natural tones of browns, while the mask has an orange hue. The backdrop is in shades of blue.
",Patrícia Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
091,Picture,Odeith,(Unknown Title),2020,Portugal,"Figures that appear to be influenced by Greco-Roman statues. These figures have contemporary elements such as gas masks and the red cross symbols on their clothing. One figure, with wings like an angel or a classical messenger god, holds an object resembling the SARS-CoV-2 virus. Another figure, seated with a spear, wears a gas mask and also sports a red cross on their garb. Dominant colors: shades of grey, red accents on the cross symbols and certain parts of the figures. The background is white.",Patrícia Arriaga,Patrícia Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,2.43
092,Picture,ALE POIRÉ,Amor próprio,2020,Portugal,"A close-up of a person, from a cropped perspective focusing primarily on their upper torso and hands. The person is depicted holding a bouquet of flowers, with the flowers' colors contrasting with the muted palette of the background. On the bottom right side of the artwork, the words ""AMOR PROPRIO"" (translating to ""self-love"") are painted. Dominant colors: muted shades of pinks and purples in the person and flowers. Background with hues of red, brown, and olive green.
",https://www.instagram.com/p/CfCJJfnsPn6/,ALE POIRÉ,,,,,,,,,,,,,,,,,,,,,,,,,,1.83
093,Picture,Styler,(Unknown Title),(Unknown date),Portugal,"Close-up of a person's face, where they has a wooden birdhouse atop their head. One side of their face is obscured by a white cloth, and they holds the cloth with their fingers, revealing only their lips and a part of their nose. their lips are prominently painted with a dark shade. The background is a calming shade of turquoise, in contrasts with the wooden texture and color of the birdhouse.",Patrícia Arriaga,Patrícia Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,2.78
095,Picture,Smile (Ivo ,Mural do Compromisso,2020,Portugal,"A pair of hands cradling a plant. Dotted rain droplets fall around, nurturing the plant. The background showcases a gradient from a vivid green at the top, transitioning into a sky-blue with representations of leaves and foliage. Bottom right: representations of plants and flowers growing. Dominant colors: green, skin tones in the hands, and blues in the backdrop.
",Patrícia Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58
096,Picture,Mojojojo (Pedro Loureiro),"""The Explorer(d) animals""",2016,Portugal,"A bear wearing a hat and an orange life vest is seated on a large blue whale. The bear is holding a fork and plate of food, appearing to be dining. The whale is depicted swimming with part of its body submerged and part above water, while the bear sits comfortably atop its back. Behind the bear, there is a refrigerator strapped to its back. Colors: Blue for the whale and background water. The bear has shades of brown and orange. Additional colors include white and light shades for details.",Patrícia Arriaga,Patrícia Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,2.53
100,Picture,WOSKerski,Girl with carrot ,2022,United Kingdom,"A young person, donning a hoodie, sticking their tongue out playfully, painted in shades of blue and skin tones. In both hands, they holds an oversized orange carrot. Background in a light blue. 
","https://static.wixstatic.com/media/9f48dd_6afa723224274112b650ee56101297b7~mv2.jpg/v1/fill/w_1440,h_1152,al_c,q_85,enc_auto/9f48dd_6afa723224274112b650ee56101297b7~mv2.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,2.45
101,Picture,WOSKerski,Gardening 2.0 ,2022,United Kingdom,"Three individuals in yellow hazmat suits, equipped with protective gloves and masks. One person is seen planting a daisy, another is watering another daisy with a hose. The primary colors: yellow for the hazmat suits, the brown and red tones of the brick wall, white for the daisies, and various shades of green for the leaves.
","https://static.wixstatic.com/media/9f48dd_f7dee5503ca24865b661d66e328f6b40~mv2.jpg/v1/fill/w_982,h_785,al_c,q_85,enc_auto/9f48dd_f7dee5503ca24865b661d66e328f6b40~mv2.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,2.20
105,Picture,WOSKerski ,Egg day,2021,United Kingdom,"A cracked egg with a bright orange yolk that's starting to drip. The egg white splatters in various directions. The background is a textured, dark gray surface.
Dominant colors: bright orange of the yolk, the white of the egg white, and the dark gray background.
","https://static.wixstatic.com/media/9f48dd_a8bb715faafe4fa08fcf87d280abec5e~mv2.jpg/v1/fill/w_1267,h_1122,al_c,q_85,enc_auto/9f48dd_a8bb715faafe4fa08fcf87d280abec5e~mv2.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,2.94
106,Picture,WOSKerski ,(Throwback to last year’s Halloween),2021,United Kingdom,"A melting pumpkin against a stark, purple brick wall. The pumpkin is melting, with its contents dripping and flowing down, surrounded by green and orange flames. There's a prominent 'X' on one of its eyes. Dominant colors include the orange of the melting pumpkin, the bright green of the flames, and the deep purple of the brick wall.
","https://static.wixstatic.com/media/9f48dd_a54934b191bc470ab7632502a0a271e7~mv2.jpg/v1/fill/w_1080,h_1349,al_c,q_85,enc_auto/9f48dd_a54934b191bc470ab7632502a0a271e7~mv2.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,2.37
109,Picture,Philippe Hérard,(Unknown Title),(Unknown date),France,"Numerous intertwined lifebuoys, densely packed and overlap each other. They are colored predominantly in shades of red, white, and grey. In the bottom right corner, a hand with spread fingers emerges. ","https://static.wixstatic.com/media/461579_db6cf3b23b934ee7a97adc6066925904~mv2_d_4080_3228_s_4_2.jpg/v1/fill/w_2203,h_1743,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/461579_db6cf3b23b934ee7a97adc6066925904~mv2_d_4080_3228_s_4_2.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,2.80
113,Picture,Philippe Hérard,(Unknown Title),2016,France,"A young individual in a swimming cap and swimming trunks, holding onto a lifebuoy. The person is portrayed against a panoramic backdrop of a verdant landscape, showing fields, trees, and a sky. Predominant colors in this artwork include shades of green for the landscape, a mix of white and blue for the sky, and red and white for the person's outfit.","https://static.wixstatic.com/media/461579_d3fd34991b76436281ba919a20981624~mv2_d_4128_2322_s_2.jpg/v1/fill/w_2997,h_1686,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/461579_d3fd34991b76436281ba919a20981624~mv2_d_4128_2322_s_2.jpg",https://www.phHérard.com/,,,,,,,,,,,,,,,,,,,,,,,,,,2.92
121,Picture,Eduardo Kobra,Coexistência,2020,Brazil,"Four children with diverse cultural backgrounds, each wearing masks that bear symbols representing different religions and nations. The children are placed against a striped background of alternating colors. The signature of the artist is seen at the top right. A broad palette of colors is used, from the multicolored representations of the children to the contrasting stripes in the background. Each child's image is filled with a mixture of bright and bold colors. (On the artist's website is was explained that the work emphasizes that although we need to remain physically separated due to the pandemic, the shared challenges can bring us together spiritually and emotionally. It underscores the universal need for faith during times of social isolation and expresses a collective hope that scientists will discover a solution to the pandemic, which transcends geographical, ethnic, and religious boundaries).",https://www.eduardokobra.com/uploads/img/projetos/6/projetos_fotos/53459763a5ab31b934114f7ee9dec89b.jpg,Eduardo Kobra,,,,,,,,,,,,,,,,,,,,,,,,,,2.25
122,Picture,Eduardo Kobra,Olhares da Paz,2018,Brazil,"A series of five portraits of notable figures. From left to right, the figures are Dalai Lama, Mother Teresa, Malala Yousafzai, Nelson Mandela, and Mahatma Gandhi. Each portrait is partially overlaid with geometric patterns in vibrant colors, which contrast with the more muted tones of the realistic portraits. (Note: in the artist's website, it is tated that the panel is a celebration of peace and the unity of peoples, celebrating a world without borders symbolized by characters who have won the Nobel Peace Prize).
",https://www.eduardokobra.com/uploads/img/projetos/9/projetos_fotos/694c5e62a44fdb812f57abeb488c5711.jpg,Eduardo Kobra,,,,,,,,,,,,,,,,,,,,,,,,,,2.76
123,Picture,Eduardo Kobra,Colégio Ser,2021,Brazil,"A young child climbing a massive bookshelf filled with a multitude of colorful books. The child is reaching out for a book. The colors are varied, mostly blue, yellow, red, white. (On the artist's website, it's noted that the mural depicts a person climbing a bookshelf in a library searching for a book. This scene highlights the importance of books and Brazilian literature. The books portrayed in the mural were selected based on approximately 4,000 suggestions of favorite Brazilian titles that impacted childhoods. The top 150 recommended books are featured in the mural.)
",https://www.instagram.com/p/CKbwfl_s_-O/,Eduardo Kobra,,,,,,,,,,,,,,,,,,,,,,,,,,2.82
124,Picture,Eduardo Kobra,Um mundo sem guerra,(Unknown date),Brazil,"A young person with long braids standing with their back to the viewer. They are holding a teddy bear in one hand, and the other hand is painting a large peace sign in the sky with white paint. The symbol is painted in white, contrasting against the bright blue sky. They are wearing a colorful, patchwork jacket and striped pants. their hair is styled in two long braids. The background is a bright blue sky with white, fluffy clouds, and there is some greenery at the bottom of the mural, representing grass. (On the artist's website, it's noted that the artwork aims to convey a crucial message: we must not lose hope of someday living in a world without wars, with humanity united in the pursuit of a better future for all.)",https://www.instagram.com/p/CbqSZGIrcdN/,Eduardo Kobra,,,,,,,,,,,,,,,,,,,,,,,,,,2.40
126,Picture,Ella & Pitr,Maria-Pia de la Luna,2021,Italy,"A singular human figure lying down, dressed in a textured gray suit. It could depict the figure of a homeless individual because of the worn-out appearance. The figure's features are accentuated by red blush spots on its cheeks and a red dot on the forehead. The individual is seen wearing round sunglasses, one hand supporting the head. A pair of black, lace-up shoes completes the attire. The background is red. There are a few real-world objects around, including two people for scale, a dilapidated wall segment, and some utility fixtures. Dominant colors: red and gray with touches of blue, black, and white.",https://www.instagram.com/p/Bf8RPbJBSqa/,ELLA & PITR ©,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
127,Picture,Mrfjodor,The Rubbish Whale,2018,Italy,"Large whale figure composed of various urban and industrial elements, set against a two-toned background divided into deep blue at the bottom and a rain-drenched gray at the top. Dominant colors: blue and gray, with white, orange, and various shades.
",https://www.instagram.com/p/BowH3pYiaOv/,"Photo by Livio Ninni Livio
(https://www.instagram.com/livio_ninni/
",,,,,,,,,,,,,,,,,,,,,,,,,,1.85
128,Picture,Monkey Evolution,“Intrecci”,2019,Italy,"Intertwined ropes or vines, each segment in different colors, against a bright yellow background. The design incorporates various elements like leaves, and a small, orange fish. The ropes or vines twist and turn. Various shades of green, blue, red, brown, and yellow. The background is a bright, solid yellow.
",https://www.flickr.com/photos/ikimuled/50023707102/in/photostream/,Michelangelo Delu,,,,,,,,,,,,,,,,,,,,,,,,,,2.60
130,Picture,Mojojojo (Pedro Loureiro),"""Sugar"" and ""Killer Series"" @ Blue Wall Faces",2014,Portugal,"Two blue-hued humanoid figures enclosed within two separate circles adorned with leaf patterns. The figure on the left holds up a can with the label ""Sugar"" dripping off of it, while the figure on the right is about to drink from a can labeled ""Killer Series"". Dominant shades of blue for the humanoid figures and background, accented with white for the leaf patterns, text, and details on the cans.",Patrícia Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56
134,Picture,Mabel Vicentef,El Desafio / The challenge,2022,Argentina,"Two side profiles of peoplewith natural landscapes incorporated into their silhouettes. Their hair and shoulders transform into green terrains with houses, trees, and even a small boat on a body of water. Dominant colors: hues of blue and pink. The peopleare depicted in colors with skin tones, while the landscapes are green.",https://images.squarespace-cdn.com/content/v1/55328775e4b0fc1dd6767c74/1647613143033-P8AK9EM1ZEDEU6AWLNHU/4.jpg?format=2500w,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00
136,Picture,Nevercrew,Black machine,2015,Italy,"A large polar bear seemingly diving or plunging forward. The bear, depicted in stark white and black (dark appearance of its lower half), giving the impression of being coated or drenched in oil. A turquoise circle sits behind the bear. Beige backdrop.
",https://nevercrew.com/black-machine,Nevercrew,,,,,,,,,,,,,,,,,,,,,,,,,,2.56
137,Picture,Nevercrew,Detecting machine n.1,2015,United States,"Blue whale is depicted within the confines of a larger, transparent whale-shaped structure made of ice. The iced whale is translucent, allowing viewers to see the blue whale inside. As the ice catches light. Dominant colors: shades of blue – from the deep blue of the whale to the lighter, more translucent hues of the iced exterior. ",https://nevercrew.com/detecting-machine-n1 ,Nevercrew,,,,,,,,,,,,,,,,,,,,,,,,,,3.04
140,Picture,WOSKerski ,(Unknown Title),2019,Mexico,"Two main characters: slice of watermelon with a smiling face and a dripping ear of corn. Both are using sombreros. The backdrop consists of shades of green that resemble the foliage or a garden. Some droplets and splatters can be observed. Dominant colors include green, red, yellow, and light blue for the background.
","https://static.wixstatic.com/media/9f48dd_37d3f820489f47e9b464f671404a299d~mv2_d_1780_1334_s_2.jpg/v1/fill/w_1559,h_1168,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/9f48dd_37d3f820489f47e9b464f671404a299d~mv2_d_1780_1334_s_2.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,2.63
142,Picture,(Unknown),Pray for peace in the barrios,1973-77,United States,"Main backdrop is a sky-blue brick wall. A white dove, symbolizing peace, flying above a banner that reads, ""Pray for Peace in the Barrios."" A yellow cross with a red rose in the center has the words ""Que Viva La Raza"" written underneath.The lower part of the mural showcases graffiti and street tags, some of which include the word ""PEACE.""
",https://digitallibrary.usc.edu/asset-management/2A3BF11RTI37?FR_=1&W=1280&H=577,"The images are accessible for fair use. However, muralists retain all rights to their work, and Robin Dunitz retains copyright for the images. Any requests for permission to reproduce the images must be directed to: Robin Dunitz, 503-577-3842, rjdunitz@comcast.net ",,,,,,,,,,,,,,,,,,,,,,,,,,2.84
144,Picture,Nevercrew,Baring machine,2017,Russia,"The mural depicts a brown bear standing on its hind legs, with a large, vertically crumpled red fabric obscuring a portion of the bear's body. The background is plain natural, earthy tone.",https://www.instagram.com/p/BqzzcjvlOzv/ ,Nevercrew,,,,,,,,,,,,,,,,,,,,,,,,,,2.60
